trials_2.thisTrialN,trials_2.stepSize,trials_2.intensity,polygon.started,grating.started,key_resp.started,polygon.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials_2.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
163,0.5,9.5,245.7772203,246.2608134,246.2608134,246.2777038,246.5593118,left,-9.5,0,0,1.0327934,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
164,0.5,10,247.3097259,247.8111318,247.8111318,247.8111318,248.110415,right,10,1,1,0.9780699,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
165,0.5,10,248.8104184,249.3108018,249.3108018,249.3108018,249.6113182,right,10,0,0,0.863801,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
166,0.5,10.5,250.1935002,250.6929696,250.6929696,250.6929696,250.9925804,right,10.5,0,0,0.6531794,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
167,0.5,11,251.3768529,251.8758525,251.8758525,251.8924333,252.1774825,left,-11,1,1,1.2125291,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
168,0.5,11,253.1099312,253.6106357,253.6106357,253.6106357,253.9257026,left,-11,1,1,0.5729491,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
169,0.5,11,254.2103499,254.7090422,254.7090422,254.7273521,255.0101005,left,-11,1,1,0.5119458,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
170,0.5,10.5,255.2436356,255.7446102,255.7446102,255.7446102,256.0602386,right,10.5,1,1,0.6802303,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
171,0.5,10.5,256.4436053,256.944002,256.944002,256.944002,257.2444461,left,-10.5,0,0,0.8928062,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
172,0.5,11,257.8587248,258.3437786,258.3437786,258.3602819,258.6437192,left,-11,0,0,0.3890171,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
173,0.5,11.5,258.7589288,259.26059,259.26059,259.26059,259.560567,left,-11.5,1,1,0.5624449,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
174,0.5,11.5,259.8431142,260.34354,260.34354,260.34354,260.6436377,right,11.5,1,1,0.7906295,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
175,0.5,11.5,261.159549,261.6601143,261.6601143,261.6601143,261.9597216,right,11.5,1,1,0.5805278,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
176,0.5,11,262.2592279,262.7435918,262.7435918,262.7593826,263.0438912,left,-11,1,1,0.8014692,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
177,0.5,11,263.576761,264.0766922,264.0766922,264.0766922,264.3770441,left,-11,1,1,0.4784783,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
178,0.5,11,264.5763304,265.0752005,265.0752005,265.0920214,265.3768825,right,11,1,1,0.5494901,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
